,0
0,91654.832
1,91655.41799999999
2,91655.804
3,91653.114
4,91655.686
5,91654.92000000001
6,91658.598
7,91656.45599999999
8,91658.39199999999
9,91655.532
10,91654.21999999999
11,91658.52199999998
12,91654.608
13,91655.06199999999
14,91656.606
15,91654.94399999999
16,91656.94600000003
17,91657.778
18,91657.596
19,91654.376
20,91654.53
21,91651.576
22,91657.448
23,91657.42
24,91654.63600000001
25,91657.76800000001
26,91655.51800000001
27,91654.70400000001
28,91656.49200000001
29,91657.04000000001
30,91656.13
31,91658.01200000002
32,91656.47199999998
33,91657.87600000002
34,91656.48799999998
35,91656.24399999999
36,91654.36799999999
37,91658.206
38,91654.42000000001
39,91654.204
40,91655.628
41,91653.582
42,91657.016
43,91655.104
44,91655.03199999999
45,91654.68400000001
46,91655.824
47,91653.51200000002
48,91654.272
49,91656.75
50,91656.054
51,91656.22
52,91656.444
53,91654.036
54,91655.124
55,91657.044
56,91655.93600000002
57,91654.95
58,91654.526
59,91655.86799999999
60,91656.72799999999
61,91657.704
62,91654.87
63,91653.66799999999
64,91655.782
65,91656.656
66,91657.046
67,91654.47199999998
68,91657.464
69,91655.18000000001
70,91655.40400000001
71,91655.21200000001
72,91653.146
73,91655.93599999999
74,91658.79800000001
75,91654.966
76,91652.42799999999
77,91653.49000000002
78,91653.87
79,91653.15600000002
80,91655.29400000001
81,91654.204
82,91655.45599999998
83,91654.12000000001
84,91655.96999999999
85,91654.25600000001
86,91655.932
87,91657.60199999998
88,91654.13
89,91655.07999999999
90,91655.232
91,91656.37
92,91656.276
93,91654.536
94,91654.69600000001
95,91653.94600000003
96,91653.94200000001
97,91654.34400000001
98,91656.06399999998
99,91655.016
100,91656.78400000001
101,91653.26
102,91658.80000000002
103,91655.634
104,91655.18800000001
105,91655.60400000002
106,91653.28800000002
107,91655.376
108,91655.62
109,91656.67
110,91658.448
111,91656.17199999999
112,91656.542
113,91655.47600000001
114,91655.486
115,91652.072
116,91656.692
117,91655.77199999998
118,91655.32
119,91656.25200000001
120,91657.688
121,91654.98199999999
122,91654.69200000001
123,91654.608
124,91657.668
125,91656.478
126,91654.90800000001
127,91655.004
128,91654.88200000001
129,91656.628
130,91654.67199999999
131,91656.89200000002
132,91655.36800000002
133,91656.758
134,91656.47
135,91657.066
136,91657.04400000001
137,91656.45800000001
138,91656.464
139,91655.56400000001
140,91655.33600000001
141,91655.72799999999
142,91655.604
143,91656.78
144,91658.66
145,91656.536
146,91657.456
147,91655.98000000001
148,91656.57800000001
149,91655.54400000002
150,91657.77200000001
151,91656.86400000002
152,91656.43600000002
153,91657.53600000001
154,91657.72000000002
155,91655.83200000001
156,91655.33600000001
157,91656.38600000003
158,91654.812
159,91656.03600000001
160,91656.34200000002
161,91654.302
162,91653.496
163,91655.08800000002
164,91656.172
165,91655.76800000001
166,91654.916
167,91654.46800000001
168,91654.44200000001
169,91655.04400000002
170,91655.13200000001
171,91655.024
172,91655.552
173,91653.896
174,91656.844
175,91653.872
176,91653.714
177,91654.956
178,91654.792
179,91655.118
180,91655.536
181,91655.22400000002
182,91654.38
183,91655.0
184,91654.044
185,91654.592
186,91655.964
187,91655.356
188,91654.576
189,91655.59
190,91656.492
191,91656.568
192,91656.44399999999
193,91656.34
194,91654.888
195,91657.336
196,91654.87599999999
197,91656.22
198,91655.1
199,91654.296
200,91655.826
201,91655.806
202,91656.094
203,91655.70800000001
204,91657.524
205,91657.40800000001
206,91654.15000000001
207,91655.888
208,91654.78
209,91658.428
210,91655.636
211,91655.32400000002
212,91656.80399999999
213,91654.51199999999
214,91656.014
215,91656.19799999999
216,91655.59800000001
217,91656.802
218,91656.36799999999
219,91655.084
220,91655.892
221,91657.68
222,91656.31800000001
223,91656.792
224,91656.74399999999
225,91655.508
226,91658.35199999998
227,91656.092
228,91656.728
229,91656.052
230,91656.94200000001
231,91656.44
232,91656.58399999999
233,91656.728
234,91656.572
235,91655.492
236,91656.51999999999
237,91656.608
238,91656.88399999999
239,91656.08
240,91659.72799999999
241,91657.24
242,91656.916
243,91656.204
244,91656.776
245,91657.53
246,91657.28
247,91658.81999999998
248,91659.58
249,91658.892
250,91658.112
251,91658.948
252,91658.772
253,91658.918
254,91658.044
255,91659.126
256,91658.164
257,91658.63200000001
258,91657.976
259,91658.306
260,91659.80799999999
261,91656.76
262,91657.644
263,91658.00799999999
264,91657.61600000001
265,91657.768
266,91658.416
267,91657.13399999999
268,91658.312
269,91658.536
270,91658.72199999998
271,91656.17199999999
272,91657.62399999998
273,91657.212
274,91657.524
275,91657.136
276,91658.41
277,91657.3
278,91657.548
279,91657.742
280,91657.31199999999
281,91658.464
282,91656.79199999999
283,91656.176
284,91656.764
285,91657.28
286,91656.72
287,91656.75200000001
288,91656.72399999997
289,91658.40799999998
290,91657.85999999999
291,91658.31999999999
292,91657.93999999999
293,91657.938
294,91657.82800000001
295,91657.652
296,91657.1
297,91658.38
298,91659.09199999999
299,91658.13999999998
300,91658.33199999998
301,91659.258
302,91658.21200000001
303,91658.872
304,91660.01000000001
305,91659.896
306,91659.52800000002
307,91659.238
308,91659.27200000003
309,91659.36200000001
310,91658.454
311,91658.004
312,91658.894
313,91660.174
314,91658.212
315,91659.034
316,91659.466
317,91658.45600000002
318,91659.61
319,91659.562
320,91659.63
321,91660.00600000001
322,91659.23799999998
323,91660.41
324,91658.15800000001
325,91658.546
326,91659.014
327,91659.298
328,91658.382
329,91659.834
330,91658.402
331,91658.722
332,91659.33799999999
333,91658.94999999998
334,91659.94999999998
335,91659.4
336,91660.05599999998
337,91660.794
338,91658.96399999999
