,0
0,185182.47999999992
1,185180.16
2,185178.7999999999
3,185187.76
4,185178.36
5,185172.2
6,185188.79999999996
7,185181.5
8,185178.8
9,185184.22000000003
10,185179.28
11,185183.56000000006
12,185170.91999999998
13,185190.88000000003
14,185180.08000000005
15,185182.49999999997
16,185176.64
17,185180.48
18,185173.47999999998
19,185173.53999999998
20,185172.09999999998
21,185162.80000000002
22,185180.95999999996
23,185173.04000000004
24,185180.99999999997
25,185179.14000000004
26,185177.18
27,185178.65999999995
28,185175.36000000004
29,185179.68000000005
30,185184.35999999996
31,185171.94000000003
32,185175.0
33,185186.12000000002
34,185188.02
35,185182.76
36,185171.48
37,185170.84
38,185176.49999999997
39,185184.92
40,185183.67999999996
41,185185.74000000002
42,185169.07999999996
43,185181.83999999997
44,185174.91999999998
45,185188.76
46,185182.08000000005
47,185178.67999999996
48,185183.13999999998
49,185183.92
50,185183.95999999993
51,185180.64
52,185179.47999999998
53,185188.60000000003
54,185184.12
55,185173.99999999994
56,185187.52
57,185179.12
58,185164.80000000002
59,185181.87999999998
60,185174.08000000005
61,185186.10000000003
62,185184.62000000002
63,185164.0
64,185176.16
65,185184.52
66,185177.37999999995
67,185171.08
68,185174.72000000003
69,185167.8800000001
70,185166.39999999997
71,185171.72000000003
72,185176.91999999995
73,185176.62000000002
74,185174.27999999997
75,185186.40000000005
76,185183.27999999994
77,185171.66000000003
78,185181.28
79,185182.4799999999
80,185178.19999999998
81,185169.20000000004
82,185174.80000000005
83,185178.3999999999
84,185186.36000000004
85,185186.34000000003
86,185170.68000000002
87,185182.36000000002
88,185181.16000000003
89,185189.06000000006
90,185188.82
91,185181.28000000006
92,185183.28000000006
93,185167.68000000008
94,185173.56000000003
95,185185.44
96,185173.17999999993
97,185183.28000000003
98,185186.92000000007
99,185177.32000000007
100,185180.40000000005
101,185186.56
102,185190.76000000007
103,185192.52000000005
104,185188.4800000001
105,185178.96000000002
106,185185.44000000003
107,185179.64
108,185189.83999999997
109,185179.06000000003
110,185189.88000000003
111,185179.88000000003
112,185184.80000000002
113,185180.80000000008
114,185183.07999999996
115,185176.74000000008
116,185181.44000000006
117,185175.12000000005
118,185182.00000000006
119,185182.16
120,185184.68000000005
121,185180.84000000003
122,185187.04000000007
123,185183.1400000001
124,185186.96000000005
125,185191.75999999998
126,185180.28000000003
127,185172.68000000005
128,185179.4400000001
129,185189.10000000012
130,185175.48000000004
131,185180.4000000001
132,185188.24000000005
133,185178.96000000005
134,185178.04
135,185185.48000000004
136,185184.11999999997
137,185186.76000000004
138,185184.91999999998
