,0
0,-612265.4221117818
1,-617895.3012930399
2,-615230.8403295658
3,-624512.355397374
4,-557097.0337707641
5,-475143.9705507775
6,-493368.30768789334
7,-576998.538594152
8,-571136.9944393202
9,-621596.9141701657
10,-538442.9568319145
11,-553445.8838477765
12,-535036.6076912116
13,-644726.3278902817
14,-539656.2081742526
15,-500816.09912315756
16,-532929.631981005
17,-525877.3178108145
18,-572996.548096764
19,-624172.1884239659
20,-575470.629350717
21,-594900.3466673463
22,-578167.7940394138
23,-596852.3189752944
24,-533828.471019272
25,-628309.7914056856
26,-610838.7134368264
27,-488012.5252000537
28,-525878.5991029078
29,-620810.9815660842
30,-494118.809935885
31,-510634.83135338576
32,-504072.6354338488
33,-509883.4998493785
34,-527737.4725053187
35,-510902.54507547786
36,-459801.80047015625
37,-479366.71249858104
38,-545794.0419833096
39,-547385.4499712741
40,-545725.8671987582
41,-469726.49019033444
42,-491481.3085783421
43,-491050.1040125039
44,-451637.7977648211
45,-516405.14206329285
46,-499084.81168050104
47,-426010.14655942656
48,-433411.3527927542
49,-555812.745489279
50,-458656.49596661946
51,-467665.2040890544
52,-473577.71921783517
53,-523203.5146628056
54,-465020.58813920815
55,-544689.5333290469
56,-462915.8967219746
57,-452593.22226416355
58,-514449.1480593973
59,-563545.215532813
60,-463456.61283026787
61,-481477.3080842955
62,-525361.3882959883
63,-473930.58110347437
64,-446759.92821860744
65,-520696.8613954072
66,-445191.5668385926
67,-536414.3220327904
68,-494015.2993126316
69,-520152.26826694905
70,-510909.5880412951
71,-412631.0226894923
72,-502980.58062243473
73,-483648.107494247
74,-548868.0766373754
75,-539957.2342865805
76,-484928.9054805209
77,-526307.9735965047
78,-484080.4045792449
79,-526583.666641048
80,-530637.0457396907
81,-475173.5387821721
82,-469882.4005299035
83,-441355.7616163927
84,-430591.80743599526
85,-495112.6913182315
86,-473811.6585401847
87,-418284.8954336692
88,-429662.2081890392
89,-385895.00426675455
90,-543937.0296839101
91,-434406.38184266386
92,-471826.5712529379
93,-455963.3978412453
94,-489242.07071321894
95,-446865.1766938135
96,-567763.7036885617
97,-445601.477062492
98,-461721.4472792156
99,-471217.0129291757
100,-440751.8426244892
101,-413177.7972234412
102,-435450.2905200993
103,-432881.92163841974
104,-487956.0084907784
105,-441863.83887542505
106,-401318.59947967983
107,-457756.88048601977
108,-450182.8896169945
109,-531070.8059361626
110,-460305.54846224515
111,-556342.5675653063
112,-428813.6460527909
113,-510773.8316699079
114,-497546.35929174133
115,-441026.9389242412
116,-452827.0040459386
117,-454077.2199951039
118,-505856.52545181883
119,-478180.3452155914
120,-623630.4887103762
121,-443210.7075499585
122,-466119.4106125144
123,-436937.1956994363
124,-434443.55706968205
125,-479354.82106013317
126,-501259.06024372997
127,-542727.2842110824
128,-448221.0588236858
129,-521789.8116463749
130,-493406.0646403705
131,-500614.1083321741
132,-401682.1142111424
133,-493541.95871801564
134,-489206.88526739227
135,-456029.32594007615
136,-467853.3107855484
137,-429244.86204916163
138,-463984.82284663955
139,-428772.07161603717
140,-402920.81497606
141,-430839.5452685988
142,-438199.18734232255
143,-442012.56898813543
144,-495184.98627303494
145,-369951.59326765034
146,-515529.93607095664
147,-449598.2724149966
148,-432015.1688876945
149,-437543.2053177111
150,-360033.5298467569
151,-377483.93166931055
152,-479758.09352023795
153,-475210.8911973361
154,-491637.94418878
155,-430527.43986753
156,-400905.7769864138
157,-406919.1448083201
158,-458041.4517225005
159,-352798.8616393588
160,-433741.39186587336
161,-382457.0556073364
162,-398176.8185781124
163,-376430.59131035116
164,-413384.60066510906
165,-400766.5354367418
166,-444968.40162260586
167,-409202.11494095094
168,-439478.3732208999
169,-417307.41586407105
170,-391320.49723411235
171,-398712.00875069905
172,-445762.2931708187
173,-388504.91138338
174,-368256.2713729854
175,-406347.4364190999
176,-366602.23260048585
177,-453665.0731553923
178,-482441.4675108351
179,-438401.82368793123
180,-353883.71511535294
181,-389859.3499880427
182,-543243.4791375562
183,-485521.29739761853
184,-363382.00089992385
185,-409821.23495092185
186,-445984.21336685744
187,-383590.1649429454
188,-575367.8815763673
189,-411967.8745005527
190,-407897.6857637543
191,-453627.5294300605
192,-471567.09988999163
193,-403942.70910202357
194,-415835.37039078044
195,-359355.8578025617
196,-414366.976148436
197,-426802.6375650753
198,-360557.599533285
199,-496738.78820724704
200,-510782.1802025954
201,-395408.9828639095
202,-390550.56459443085
203,-413651.17198090965
204,-398321.49156281905
205,-394574.0036010579
206,-466839.88481686765
207,-425231.3051960308
208,-344121.1619315496
209,-415883.55068205256
210,-370103.93396732595
211,-495647.22018173756
212,-509198.52628017013
213,-420197.85312874697
214,-446291.4014520892
215,-479914.06978781195
216,-336065.8437775221
217,-375703.1550252633
218,-340724.49511611374
219,-416289.48490702774
220,-383608.6436608521
221,-311415.8822034075
222,-384300.5470448268
223,-411864.5285015133
224,-334474.5778149826
225,-407353.09993341257
226,-383609.8957390754
227,-401976.1009392617
228,-431544.59494636336
229,-408372.6000412407
230,-437442.00076122367
231,-321740.6887843086
232,-404976.52527185896
233,-365981.9959408519
234,-298176.2585674619
235,-386718.75088886847
236,-370597.3625639718
237,-398957.95013749076
238,-395806.1325095731
239,-304756.97310652526
240,-349972.88547819795
241,-373214.144111639
242,-419585.90503615857
243,-370068.2286810239
244,-404493.0753127616
245,-364145.4923368053
246,-346104.5262286813
247,-428597.8766709535
248,-402973.6938918351
249,-487982.75132747425
250,-345042.4142544683
251,-411798.0788084422
252,-395519.60349529545
253,-463985.0005379648
254,-388608.98745101097
255,-312663.83323332027
256,-395422.95895269327
257,-417654.3223684692
258,-408928.8912514437
259,-391550.5402595568
260,-393388.2094386398
261,-340543.3178282836
262,-396464.8523268378
263,-418232.2659499186
264,-339167.5710376251
265,-444164.1719307777
266,-358894.10071434337
267,-316147.76127339323
268,-362838.2229983995
269,-351072.00225818565
270,-381584.84239338234
271,-312312.146162821
272,-362719.17267518176
273,-334180.7316576116
274,-411463.6463420201
275,-275415.5716802351
276,-416041.9881745946
277,-308534.3121815634
278,-421168.01665853884
279,-334745.53471848054
280,-286532.4372150735
281,-321952.0818059883
282,-400212.46743689885
283,-417425.9528485821
284,-362882.2231943474
285,-390874.9927892049
286,-407470.80847806024
287,-317149.3816926817
288,-336154.6056267762
289,-339265.32227272255
290,-320912.8864093303
291,-327321.93276629696
292,-285754.48750811646
293,-343397.1637301844
294,-352499.6605131575
295,-355363.2723743483
296,-367232.5102346903
297,-397664.0549857674
298,-373668.44144494523
299,-426219.85422350967
300,-392858.58513446373
301,-352430.00914846256
302,-348199.84596776223
303,-354656.39266540983
304,-405840.9796387161
305,-404459.99966664426
306,-380026.05618830724
307,-366537.5769282958
308,-325490.271060431
309,-403141.63824433205
310,-315315.4259634889
311,-341701.66741008335
312,-427105.6626555786
313,-289914.8222595662
314,-379226.82548616856
315,-373818.4047944577
316,-263492.89558604616
317,-330050.14945172565
318,-286893.84316197253
319,-261499.9521052247
320,-375458.6094387189
321,-285781.2782883287
322,-332475.07871158014
323,-277691.35784350586
324,-414048.88218241197
325,-277770.2949453842
326,-315082.35418631684
327,-337776.5593115417
328,-277506.43344305456
329,-370300.02722106944
330,-378606.3806905209
331,-311027.8948302422
332,-359309.248044232
333,-336792.4419431093
334,-346408.0981750059
335,-252598.4218615097
336,-341329.5715822057
337,-338335.3765520643
338,-390900.1958341539
339,-327270.05216529814
340,-380763.1512166369
341,-306358.2309956377
342,-256737.48983076573
343,-361621.9011949057
344,-312188.0114738721
345,-364297.03454486217
346,-284082.8468196793
347,-319404.2672954176
348,-257262.61973014288
349,-299246.49508837063
350,-345907.3347947353
351,-297415.05718110857
352,-303532.50392448343
353,-290371.4338263019
354,-303651.6021347831
355,-294087.3109718914
356,-376476.88512675057
357,-250262.39060420642
358,-267564.63847776724
359,-275221.52005545446
360,-248077.6488714569
361,-248802.5681634476
362,-264754.4200280535
363,-279263.6320235786
364,-258452.8789905301
365,-258919.9017509927
366,-240870.6357042849
367,-261335.81428387505
368,-317632.60079245345
369,-260322.54713958938
370,-248769.07629691475
371,-334995.23067665816
372,-243747.88091111835
373,-273288.1780577938
374,-318365.7210016951
375,-288542.7425859893
376,-323869.0102975809
377,-235643.71936587468
378,-302225.1990750109
379,-267247.01978834963
380,-244549.69711437722
381,-313934.3384896886
382,-279127.5336842522
383,-308683.99575029535
384,-306299.42370542354
385,-255871.35217872326
386,-296958.04463837505
387,-281878.3997771641
388,-264455.3385268502
389,-345251.21795376594
390,-255669.0621119094
391,-290824.0504838245
392,-268217.62991003145
393,-307254.4944444246
394,-236853.13342505033
395,-378036.1111102564
396,-277239.01053124585
397,-275319.44178071746
398,-277881.88694658707
399,-228853.06700671845
400,-257564.0324245522
401,-231538.54466567602
402,-232823.35511700768
403,-228968.1318426123
404,-287914.2300985353
405,-243702.17329723405
406,-257633.83437438388
407,-231221.5960549897
408,-237303.89782071198
409,-232147.6429041656
410,-228853.06700671845
411,-228853.06700671845
412,-230751.76717039483
413,-232823.17244192056
414,-232528.8128887235
415,-230320.74795868754
416,-268631.1359307332
417,-237686.36225625704
418,-289048.3828753812
419,-261563.6143353115
420,-263287.7232347418
421,-285284.38848636905
422,-356643.3957004516
423,-271323.42629563936
424,-237424.45364839546
425,-230723.5221138143
426,-242012.75646835932
427,-228160.05811653245
428,-227209.06570959548
429,-270760.2094997078
430,-231343.63373727715
431,-292367.222072739
432,-229333.6374270747
433,-228867.12731769859
434,-233424.18631960108
435,-228691.23904508623
436,-228543.8690480776
437,-229545.9390693985
438,-235676.43390201815
439,-230794.31606499664
440,-229322.874794451
441,-227399.2057660914
442,-230754.45679315267
443,-229373.6500652795
444,-227980.741491492
445,-232551.752847637
446,-236168.52704239087
447,-228530.1632873335
448,-228249.97520416463
449,-239367.78130268716
450,-227977.15203926308
451,-228249.97520416463
452,-236988.27906618975
453,-233074.32771026628
454,-238330.80237903516
455,-285629.2229189261
456,-229578.65359207647
457,-227327.52961709318
458,-256423.032821537
459,-233763.29117061227
