,0
0,130953.56587798017
1,129833.47153335967
2,125209.31163938025
3,126690.15144546078
4,110335.18235881765
5,136523.00299330687
6,142282.26862932005
7,133893.516100214
8,137213.1860045373
9,143045.27240094257
10,140775.26480776153
11,138910.8578944568
12,137785.9859311983
13,129915.11248963725
14,127482.64013249609
15,135634.31017709934
16,131445.67077656233
17,139994.09783089682
18,137665.81223875796
19,133678.21430784574
20,133082.6970304054
21,143910.59473763008
22,134311.28578219988
23,144068.44238932253
24,136996.52257340116
25,137113.86192098612
26,135257.42708659233
27,143154.06063535114
28,141257.65929327277
29,146227.56098501588
30,137258.2917019125
31,144476.71733174744
32,138556.92650917094
33,142815.79402693408
34,148867.82182116882
35,120306.70070370969
36,142212.6073544472
37,146323.69745109868
38,133501.6307167376
39,135229.78083163901
40,146653.6813947764
41,131866.81740307453
42,138301.80821044598
43,147054.63719154394
44,144276.0010455337
45,144773.5961488159
46,144178.5073752216
47,148259.32437246936
48,140710.70528497233
49,146990.9016872885
50,140743.29624775937
51,149069.97333315262
52,138239.54982842968
53,142102.5930955307
54,144491.51386895913
55,146143.4477898446
56,140834.26247582305
57,142092.94765316768
58,141428.5096050388
59,143803.24818790116
60,148984.79774485968
61,140060.72835301858
62,148341.33154569071
63,142713.0150698867
64,132419.7825265703
65,148258.6809437934
66,149212.9687537117
67,126136.0132180671
68,144899.80953670226
69,141728.6051958321
70,145487.62553259914
71,143670.62815300055
72,143006.51967362102
73,138904.3344967116
74,138112.61681735216
75,139695.53027252475
76,140024.8029490152
77,137708.56478103917
78,135710.26629209545
79,132323.17132922323
80,143542.677220341
81,143422.49854923593
82,146043.76929690927
83,137807.78825973038
84,140963.09459905096
85,146563.75378478633
86,126600.66969096712
87,144581.76195944377
88,135501.4675875218
89,138598.6100253638
90,133172.73941057973
91,143454.33920734545
92,147668.04502049135
93,144542.14652984514
94,140289.1654206527
95,142999.175252053
96,140186.94931490297
97,145990.873240826
98,137345.05134901727
99,146661.29892459622
100,144827.06142623132
101,146275.38033019882
102,147767.89420308624
103,148412.9808479875
104,147837.93584066207
105,149360.27484699318
106,144882.25716374078
107,148212.71577084655
108,147591.24546696624
109,145249.98620318473
110,148944.5739029042
111,144736.5474557916
112,144818.58787458448
113,147336.31146124733
114,147891.07758172887
115,146974.25876580263
116,144438.4961208785
117,149323.5606544455
118,149630.6379658898
119,144519.16978178077
120,150432.034203192
121,143595.44948855825
122,151016.05861873474
123,144494.1871700907
124,142883.08663792713
125,146141.7842044704
126,145353.77837556327
127,150150.44785421906
128,146046.71784986724
129,147944.4897304534
