,0
0,-316553.7483090562
1,-415734.690233297
2,-389921.65775492205
3,-487739.56257065304
4,-438754.9643406331
5,-409276.2063865288
6,-402441.45487082604
7,-406375.85886789963
8,-414640.13594297605
9,-333783.33383127785
10,-303074.0664205091
11,-366351.15735801746
12,-333776.2705482743
13,-353491.34285056347
14,-360711.0572198666
15,-399338.5165973841
16,-240501.67141932697
17,-401605.8781867961
18,-375720.89957696694
19,-334460.36271907075
20,-341261.39218725474
21,-378236.712546625
22,-357992.38963128475
23,-386194.015724783
24,-528665.8728437808
25,-499374.50141519116
26,-294898.39029824804
27,-254690.33096835835
28,-287058.01396138355
29,-253529.9186262369
30,-348848.80960466084
31,-315492.1419918001
32,-351748.3705089883
33,-378416.9235206573
34,-416200.5102674811
35,-313826.20312734786
36,-434186.5600423065
37,-284526.3126730243
38,-385905.5443167887
39,-338921.56883693184
40,-420774.0576461173
41,-312126.9852498593
42,-303732.12510871445
43,-341600.56931807374
44,-284545.15263635677
45,-433240.4918355902
46,-341013.0040662394
47,-455009.34359794453
48,-374425.6056184546
49,-338066.918976195
50,-501019.31749270833
51,-333977.48181579384
52,-424137.2433639703
53,-374480.7267910359
54,-296819.9775051731
55,-261507.6866391716
56,-318370.3015439724
57,-331000.80121350917
58,-513037.6725530023
59,-386245.69741459447
60,-269422.0437714345
61,-543011.816385043
62,-283783.5322324217
63,-228043.11613479757
64,-428776.2639020178
65,-271517.84716859634
66,-327172.0941222171
67,-341980.7893291062
68,-386879.077614509
69,-270782.4909374288
70,-275717.2033516327
71,-276844.3879988273
72,-287713.6217530467
73,-200273.55259831873
74,-396412.7182090491
75,-449031.321564991
76,-277436.463870488
77,-482113.11563780933
78,-278549.1884666825
79,-447445.32595573796
80,-345525.6824367423
81,-219567.67281266808
82,-358751.19775242923
83,-414073.62825121795
84,-415189.6129206896
85,-387765.6772906746
86,-559453.6037512515
87,-295039.4048815673
88,-339715.31380741805
89,-388235.6108981681
90,-414133.04047659074
91,-550075.6171394902
92,-594956.912424647
93,-396372.5957324756
94,-335378.52501820284
95,-278352.65906193556
96,-261252.34816736323
97,-314063.39272811287
98,-248444.9584936522
99,-368491.91574453353
100,-233894.39733709692
101,-359412.01477351465
102,-257378.18873638782
103,-222496.60302905418
104,-238903.59413751683
105,-331118.4159914093
106,-279831.6375315363
107,-236261.14155265933
108,-296609.49231004564
109,-260805.8442258599
110,-255785.22219883895
111,-264999.7484634132
112,-236479.02579698002
113,-237629.0881877755
114,-195067.93910511144
115,-239472.7120091767
116,-258790.57744580583
117,-212954.8627525121
118,-322408.2627482305
119,-281741.33637781
120,-241620.78557779407
121,-269957.1666743942
122,-435793.0409499264
123,-175918.3557637047
124,-201877.25201181302
125,-311036.3959522761
126,-250175.34162143889
127,-464801.3790877994
128,-236779.0770766812
129,-404293.47000197746
130,-300769.91802359105
131,-268980.71918322484
132,-337735.52937381604
133,-237667.09942804568
134,-178217.7146873607
135,-293681.28268980974
136,-349397.0639151914
137,-270090.8611609607
138,-228087.0392542814
139,-425360.05172114784
140,-250678.17087002646
141,-315679.28387846274
142,-255118.36922271954
143,-245468.82581656158
144,-225338.4127636327
145,-257666.0593833474
146,-452818.48720926774
147,-283432.16621843824
148,-231909.2674919437
149,-352904.25294660125
150,-202443.07950052124
151,-210497.72514722275
152,-208932.98662759276
153,-187661.0898965882
154,-290539.43089772476
155,-179520.26165126573
156,-317386.969430386
157,-204050.44728335165
158,-293274.74394139834
159,-249436.5562986322
160,-212838.8642537042
161,-387892.076906485
162,-196225.68578706548
163,-208408.43728373793
164,-185212.11784672565
165,-292267.8185907117
166,-266737.6303649124
167,-236821.58239313288
168,-337528.8366338103
169,-271790.27291109844
170,-318588.4769844118
171,-278268.87416097574
172,-433231.23152391124
173,-199301.25679184948
174,-238227.87848022883
175,-295657.7416058072
176,-230714.56934265827
177,-430684.103783518
178,-200502.1512087347
179,-225539.59190068438
180,-287807.1335652705
181,-214521.59065443676
182,-375182.47483998194
183,-187464.55613053238
184,-195607.23143764547
185,-201227.2736056043
186,-202447.31633294918
187,-392865.39238629513
188,-295237.5978524631
189,-373423.80788718123
190,-220871.43839003146
191,-201583.06377195215
192,-309350.81988538103
193,-205763.20372445032
194,-172081.98573188347
195,-228832.55211820762
196,-268931.9116345764
197,-229059.45753871862
198,-313863.0549075483
199,-245644.18552618698
200,-343112.63978212484
201,-312432.9654847549
202,-217501.9520245436
203,-258707.220091175
204,-173495.36931805252
205,-217131.23657710073
206,-363785.7618346204
207,-385832.4762454574
208,-253645.0693646837
209,-247350.42048930962
210,-284775.7467138442
211,-345847.40956348804
212,-192623.8995930145
213,-171062.69642874255
214,-201055.60066979873
215,-166066.5364835802
216,-447545.9648656902
217,-255095.6728173124
218,-281369.0043153577
219,-441339.47623180295
220,-375275.32752755296
221,-227879.29408863347
222,-438179.2739562611
223,-248321.77996152066
224,-196335.45995594605
225,-293750.9751850107
226,-234037.09317933916
227,-251569.968671708
228,-237276.5670193862
229,-215014.1907781611
230,-272862.37735647213
231,-208717.02212585352
232,-184158.8541427501
233,-198080.01786066624
234,-485497.32504740707
235,-412633.453606457
236,-350388.9491564007
237,-210525.18798639035
238,-173453.15186658743
239,-269462.77427723195
240,-200177.40536353042
241,-564017.9777259905
242,-520754.74707098823
243,-449054.8999985888
244,-527005.0050731206
245,-185502.9254028809
246,-213073.44696331874
247,-188671.12413650664
248,-176018.4029865213
249,-155068.8138695574
250,-202387.94184654002
251,-198418.30375250246
252,-252759.65768983937
253,-175830.4408257416
254,-196485.0692160556
255,-225483.00035569764
256,-349952.3810691711
257,-218398.91450317766
258,-343703.85594936676
259,-176394.80429095932
260,-257113.89992329202
261,-224107.56906333106
262,-424603.6116734225
263,-375825.84131542494
264,-184658.67608594237
265,-175756.56857606553
266,-373741.00306758995
267,-229023.59604854631
268,-237000.44919302396
269,-297151.20552998094
270,-337296.8801925103
271,-429801.68943187804
272,-197956.03864646066
273,-165935.0554641845
274,-323019.70478450466
275,-354869.958762511
276,-373411.4047292235
277,-254802.98053387503
278,-206825.10724578216
279,-445125.8046981652
280,-187519.08308529263
281,-314773.8562844019
282,-160222.30706557093
283,-599172.6898583408
284,-214977.05200076228
285,-240124.79376091994
286,-348610.39940010547
287,-326650.560968121
288,-270095.27139334526
289,-247823.66858494937
290,-255304.3185024294
291,-196935.17538355445
292,-208535.5621391387
293,-258108.63133761217
294,-341309.23111963156
295,-208428.61122401975
296,-172449.13328370286
297,-187972.06114762003
298,-215466.27156655354
299,-160486.8003111022
300,-158620.60291884266
301,-201803.77848509044
302,-164999.3235622627
303,-161275.49325904765
304,-224327.2296837259
305,-240293.3430628311
306,-193172.0583613604
307,-171689.68683825625
308,-205396.1720292811
309,-163717.33268432468
310,-407431.5975575838
311,-176102.46846135886
312,-464114.43436088576
313,-313710.3471401082
314,-151014.3208445296
315,-213310.24391227655
316,-212641.34209215763
317,-391284.148451289
318,-269206.7730491601
319,-238583.5695029502
320,-150894.7764024491
321,-181859.00555363475
322,-269163.28615155607
323,-147817.91416745124
324,-395096.459235544
325,-194069.44715123583
326,-292710.4236278942
327,-209410.4824876861
328,-175840.22696958264
329,-232547.0605807958
330,-156183.5215100293
331,-344889.5439745716
332,-148468.04121141255
333,-207698.76399020242
334,-303999.70396629395
335,-161707.91201147955
336,-233795.082367179
337,-331508.978343933
338,-283001.6936913978
339,-326083.1798414929
340,-150216.39918231498
341,-164033.5633169911
342,-324238.0664264531
343,-304334.4565959628
344,-286053.59214667155
345,-343497.6350964423
346,-210217.06273415487
347,-176357.86103630625
348,-191150.16962377125
349,-194767.63570489537
350,-150312.7983620491
351,-153635.24842217745
352,-159599.73914475547
353,-309946.61030209786
354,-157755.508846357
355,-255290.4122623092
356,-348418.7832908653
357,-153485.98154491183
358,-167931.3074023169
359,-214505.28676416358
360,-192842.17779167433
361,-384252.9435342145
362,-295152.7499948687
363,-195302.76948784446
364,-223580.4145976516
365,-410707.90931893
366,-227121.99366882915
367,-487431.3160110587
368,-187786.22725263305
369,-204599.06025897735
370,-240937.82183265718
371,-514833.0416726885
372,-252374.80064482402
373,-208688.77260281003
374,-137937.46774142774
375,-208067.94474936152
376,-362695.8327730966
377,-251775.0838593365
378,-270626.3587852504
379,-300400.5770889959
380,-210106.2165694027
381,-150694.40393482705
382,-247805.8698843518
383,-375993.8097146238
384,-370395.3626623762
385,-365631.5324179137
386,-278601.5828319124
387,-416614.0676679908
388,-223140.46184470897
389,-176427.1968238008
390,-197269.62814307478
391,-260269.0898504844
392,-240062.84035913594
393,-191500.02843299616
394,-156016.2778918779
395,-183716.18812517636
396,-177397.8293643438
397,-141289.25480390523
398,-151130.62495939134
399,-189025.4741739912
400,-186595.6292767734
401,-326438.41618582286
402,-147218.21393117434
403,-144749.13500265728
404,-185657.87090735906
405,-136688.999869291
406,-223612.24322982525
407,-169556.85346447982
408,-140356.22140709087
409,-311497.57148869266
410,-141118.83371376025
411,-203754.0534837577
412,-193326.02207005385
413,-181960.6272324654
414,-153903.01153569287
415,-381579.1337415233
416,-199437.30630041249
417,-148426.47807352926
418,-432486.39076931647
419,-163771.76319197984
420,-196719.29770806304
421,-243058.36080012884
422,-183765.04205071175
423,-223325.54352621041
424,-281400.05843402765
425,-236777.57695428454
426,-324806.64460321155
427,-208502.66152442724
428,-348162.72764992435
429,-242156.13873967042
430,-153560.9429221503
431,-194069.60935645294
432,-151702.51269040446
433,-154713.83396426265
434,-192886.10366881802
435,-181059.83312434214
436,-156584.35722917115
437,-142389.28138421135
438,-141972.91467531706
439,-189290.50126589567
440,-299086.7645011872
441,-348080.19539750734
442,-160601.53064405321
443,-326255.8716015947
444,-274215.1045879994
445,-266342.92223658157
446,-322964.63870513183
447,-144583.32545711455
448,-182704.58148202449
449,-142824.9938024323
450,-186098.65455670177
451,-182245.10948317632
452,-244279.03803691777
453,-527861.0906209237
454,-182654.31971818142
455,-175185.34193301093
456,-162046.35480010475
457,-299532.66696079413
458,-281513.12390708516
459,-204912.5969172365
460,-219007.00576316242
461,-163136.6351566217
462,-152463.7402344456
463,-180967.90639829708
464,-250380.1164216454
465,-146212.8299084509
466,-164111.26061750948
467,-459116.1893333674
468,-214276.74938889523
469,-276494.836979298
470,-175462.29994769834
471,-193140.95823281884
472,-185247.48568957852
473,-487063.2147892123
474,-181753.5888851697
475,-146737.71278854986
476,-159967.8155707223
477,-181611.16549380033
478,-161944.36374496014
479,-265642.7456193106
480,-184203.11296825932
481,-157970.37311650906
482,-169927.08883728943
483,-166438.56298860442
484,-143137.87140655023
485,-149559.01209039468
486,-182299.18390178468
487,-146716.22752061757
488,-302031.59892547183
489,-145952.91412300413
490,-423520.1756659971
491,-436713.4643011189
492,-206601.73666541692
493,-324685.18623929855
494,-212776.42910549438
495,-161357.926369418
496,-313866.2618259769
497,-184264.02317640564
498,-310320.93954011874
499,-323972.71223040053
